lat,lon,sumo_x,sumo_y,sumo_bbox_polygon,sumo_polygon
46.78976423650603,8.670424009707872,19562.129872125806,32470.502709008753,"[(19557.094866658852, 32463.974553375505), (19557.13643144892, 32473.8866501078), (19567.43242494564, 32473.843484310433), (19567.3908771656, 32463.931387570687)]","[(19557.094866658852, 32463.974553375505), (19557.13643144892, 32473.8866501078), (19567.43242494564, 32473.843484310433), (19567.3908771656, 32463.931387570687), (19557.094866658852, 32463.974553375505)]"
46.7920420951437,8.671930061899122,19678.132970692008,32723.14252230525,"[(19671.639850853186, 32711.91328896396), (19671.70252212626, 32726.92589893844), (19682.776543940592, 32726.879679769278), (19682.71390037943, 32711.867069780827)]","[(19674.38135166152, 32726.914716549218), (19682.76958869002, 32725.212846666574), (19680.035064138938, 32711.878248426132), (19671.646809166763, 32713.58012203034), (19674.38135166152, 32726.914716549218)]"
46.80305292501255,8.672011795789969,19689.47657320602,33946.66537890863,"[(19683.51834389672, 33939.57550856564), (19683.57006291754, 33951.965658419766), (19696.08397526166, 33951.91343579721), (19696.032282095694, 33939.523285930976)]","[(19683.541907349078, 33945.22052748315), (19688.896106096567, 33951.94342877064), (19696.060423565214, 33946.26841681544), (19690.698597459297, 33939.545541044325), (19683.541907349078, 33945.22052748315)]"
46.78787903839365,8.67338034639608,19786.89655669505,32260.073709734716,"[(19776.74552701699, 32248.188017030247), (19776.82746342453, 32267.901082161814), (19796.771385599568, 32267.818219233304), (19796.68951471697, 32248.105154071003)]","[(19776.791991489124, 32259.366902818903), (19788.657956865558, 32267.85192087572), (19796.72491207579, 32256.628221064806), (19784.866615001287, 32248.154267664067), (19776.791991489124, 32259.366902818903)]"
46.78104100066162,8.6709449417356,19597.83180278167,31500.99206889607,"[(19590.333414319844, 31493.95590041764), (19590.397846603882, 31509.346296280622), (19605.43592466449, 31509.28335775342), (19605.371530944307, 31493.89296187274)]","[(19590.38012189581, 31505.112548357807), (19600.932134786504, 31509.302203410305), (19605.389198520686, 31498.115597528405), (19594.844849305286, 31493.937014898285), (19590.38012189581, 31505.112548357807)]"
46.80349975423939,8.674786491894665,19901.40358553239,33995.43830442708,"[(19894.71632506745, 33990.892742194235), (19894.75813377241, 34000.993771176785), (19905.738237620506, 34000.94833395071), (19905.696447410446, 33990.84730495978)]","[(19897.33719916467, 34000.98309683148), (19905.725594811025, 33997.89246707782), (19903.117377672403, 33990.85797569435), (19894.72892746475, 33993.9374967888), (19897.33719916467, 34000.98309683148)]"
46.79425873736355,8.669937276592579,19527.077914899448,32970.097414263524,"[(19521.320099704957, 32963.40554000344), (19521.372977862833, 32975.995690692216), (19533.316552102682, 32975.945539973676), (19533.263699011935, 32963.355389272794)]","[(19521.365603850747, 32974.239959159866), (19531.4315279249, 32975.95345355477), (19533.271069516428, 32965.111120777205), (19523.20512783766, 32963.397623260505), (19521.365603850747, 32974.239959159866)]"
46.79911963451936,8.66884310112616,19445.84961842734,33510.60267491732,"[(19433.094619668147, 33495.33966211416), (19433.207369005482, 33522.086809672415), (19457.70282280323, 33521.9836018933), (19457.5901827045, 33495.236454281956)]","[(19457.60323901201, 33498.33676755335), (19447.20436921186, 33495.28020090051), (19443.42735192168, 33508.05318587832), (19436.405657450377, 33505.99363992456), (19433.18549363152, 33516.89739624411), (19450.606009081064, 33522.01349291857), (19457.60323901201, 33498.33676755335)]"
46.8018319879828,8.668433386667816,19415.855810526235,33812.1376247108,"[(19409.28527743701, 33804.554663089104), (19409.33756079781, 33816.944810012355), (19421.77545093617, 33816.89233803656), (19421.723193272017, 33804.5021911012)]","[(19409.31256793259, 33811.021986384876), (19415.28180399735, 33816.91972969659), (19421.74817382946, 33810.42501467187), (19415.778937788447, 33804.52726498619), (19409.31256793259, 33811.021986384876)]"
46.768814954436046,8.672590185305971,19717.765293369943,30141.8865833031,"[(19712.443395940878, 30137.946691275574), (19712.481527016615, 30147.103123904206), (19721.582773709728, 30147.065229517408), (19721.544656513666, 30137.908796882257)]","[(19712.474909605284, 30145.51408279501), (19714.046805940627, 30137.940014248714), (19721.551225250063, 30139.486725797877), (19719.971730880206, 30147.071936327033), (19712.474909605284, 30145.51408279501)]"
