lat,lon,bounding_box,polygon
46.7373733169913,8.628413632662607,"['46.7372851', '46.7374454', '8.6283074', '8.6285181']","POLYGON((8.6284352 46.7374454, 8.6285181 46.7373631, 8.6283533 46.7372851, 8.6283074 46.7373307, 8.6283531 46.7373523, 8.6283156 46.7373896, 8.628351 46.7374063, 8.6283365 46.7374207, 8.6283855 46.7374439, 8.6284006 46.737429, 8.6284352 46.7374454))"
46.72718861972452,8.621555923428463,"['46.7271278', '46.7272194', '8.6214973', '8.6216341']","POLYGON((8.6214973 46.7272131, 8.621504 46.7271496, 8.6215201 46.7271504, 8.6215225 46.7271278, 8.6216341 46.7271333, 8.621625 46.7272194, 8.6214973 46.7272131))"
46.734750493389456,8.627151974130072,"['46.7346726', '46.7348248', '8.6270493', '8.6272547']","POLYGON((8.6270493 46.7347848, 8.6271834 46.7348248, 8.6272547 46.7347126, 8.6271206 46.7346726, 8.6270493 46.7347848))"
46.726332656274565,8.62168106830665,"['46.7262728', '46.7264011', '8.6216122', '8.6217652']","POLYGON((8.6216122 46.7263102, 8.6216252 46.7263064, 8.6216167 46.7262928, 8.6216858 46.7262728, 8.6216942 46.7262865, 8.6217235 46.726278, 8.6217652 46.7263458, 8.6217189 46.7263592, 8.6217332 46.7263824, 8.6216682 46.7264011, 8.6216122 46.7263102))"
46.73303459487716,8.62605432729475,"['46.7329653', '46.7330976', '8.6259270', '8.6261517']","POLYGON((8.625927 46.7330404, 8.6260984 46.7330976, 8.6261517 46.7330224, 8.6259804 46.7329653, 8.625927 46.7330404))"
46.7275613677381,8.622048172538577,"['46.7274866', '46.7276252', '8.6219383', '8.6221377']","POLYGON((8.6219383 46.7275684, 8.6220456 46.7274866, 8.6221377 46.7275433, 8.6220304 46.7276252, 8.6219383 46.7275684))"
46.727906756698,8.623442571651562,"['46.7278437', '46.7279442', '8.6233637', '8.6235028']","POLYGON((8.6235028 46.727911, 8.6234425 46.7278437, 8.6233637 46.7278769, 8.623424 46.7279442, 8.6235028 46.727911))"
46.73578553230542,8.627972973152588,"['46.7357331', '46.7358457', '8.6278830', '8.6280655']","POLYGON((8.627883 46.735809, 8.6280232 46.7358457, 8.6280655 46.7357698, 8.6279253 46.7357331, 8.627883 46.735809))"
46.729414394739045,8.62293925259225,"['46.7293183', '46.7295005', '8.6228336', '8.6230757']","POLYGON((8.6228336 46.7293841, 8.6228867 46.7294351, 8.6228511 46.7294526, 8.622901 46.7295005, 8.6229313 46.7294857, 8.6229351 46.7294893, 8.6230757 46.7294206, 8.6230533 46.729399, 8.6230666 46.7293925, 8.6229895 46.7293183, 8.62297 46.7293279, 8.6229628 46.7293209, 8.6228336 46.7293841))"
46.73766427209361,8.626391779197553,"['46.7376014', '46.7377605', '8.6262634', '8.6265194']","POLYGON((8.6262634 46.7376905, 8.6264471 46.7377605, 8.6265194 46.7376713, 8.6263356 46.7376014, 8.6262634 46.7376905))"
46.729217874728405,8.622804103158973,"['46.7291061', '46.7293392', '8.6226547', '8.6229277']","POLYGON((8.6226547 46.7291743, 8.6228134 46.7293392, 8.6229277 46.7292875, 8.622891 46.7292495, 8.6229277 46.7292329, 8.6228055 46.7291061, 8.6226547 46.7291743))"
46.72838379511407,8.62168679477884,"['46.7283089', '46.7284614', '8.6215627', '8.6217855']","POLYGON((8.6215627 46.7283805, 8.6216831 46.7284614, 8.6217855 46.7283898, 8.6216651 46.7283089, 8.6215627 46.7283805))"
46.734359052156194,8.624133843397754,"['46.7343063', '46.7344039', '8.6240703', '8.6242062']","POLYGON((8.6240703 46.7343996, 8.6240769 46.7343063, 8.6242062 46.7343106, 8.6241996 46.7344039, 8.6240703 46.7343996))"
46.72625536746422,8.621326137080937,"['46.7262088', '46.7263019', '8.6212556', '8.6213921']","POLYGON((8.6212556 46.7262597, 8.6213145 46.7262088, 8.6213921 46.7262509, 8.6213332 46.7263019, 8.6212556 46.7262597))"
46.73449088130009,8.627028490839452,"['46.7344219', '46.7345770', '8.6269288', '8.6271567']","POLYGON((8.6270184 46.734577, 8.6271567 46.7345135, 8.6270671 46.7344219, 8.6269288 46.7344855, 8.6270184 46.734577))"
46.728019768884174,8.621220898384442,"['46.7279413', '46.7280740', '8.6211345', '8.6213098']","POLYGON((8.6212427 46.728074, 8.6213098 46.7279848, 8.6211865 46.7279413, 8.6211345 46.7280105, 8.621176 46.7280505, 8.6212427 46.728074))"
46.72932572912383,8.624546587262229,"['46.7292623', '46.7293870', '8.6244437', '8.6246350']","POLYGON((8.6245094 46.729387, 8.624635 46.729328, 8.6245694 46.7292623, 8.6244437 46.7293213, 8.6245094 46.729387))"
46.72813222209404,8.621655111807298,"['46.7280760', '46.7282047', '8.6215636', '8.6217513']","POLYGON((8.6215636 46.7281384, 8.62166 46.728076, 8.6217513 46.7281423, 8.6216549 46.7282047, 8.6215636 46.7281384))"
46.73781281582517,8.628541097317303,"['46.7377481', '46.7378765', '8.6284415', '8.6286318']","POLYGON((8.6284415 46.7378127, 8.6285199 46.7378765, 8.6286318 46.7378119, 8.6285533 46.7377481, 8.6284415 46.7378127))"
46.72836848969866,8.624028378962551,"['46.7283306', '46.7284698', '8.6239524', '8.6240871']","POLYGON((8.6239766 46.7284698, 8.6240871 46.728449, 8.6240616 46.7283856, 8.624081 46.728382, 8.6240603 46.7283306, 8.6239801 46.7283457, 8.624002 46.7284002, 8.6239524 46.7284096, 8.6239766 46.7284698))"
46.73157841465391,8.624203581900483,"['46.7314990', '46.7317305', '8.6240754', '8.6245146']","POLYGON((8.6240754 46.7315745, 8.6241203 46.731499, 8.6245146 46.7316094, 8.6244424 46.7317305, 8.6242865 46.7316869, 8.6243137 46.7316412, 8.6240754 46.7315745))"
46.73711220804954,8.626706760604147,"['46.7370423', '46.7371716', '8.6266047', '8.6268032']","POLYGON((8.6266047 46.7371117, 8.6266836 46.7371716, 8.6268032 46.7371016, 8.6267256 46.7370423, 8.6266047 46.7371117))"
46.7332857581623,8.626125278341634,"['46.7332132', '46.7333364', '8.6260380', '8.6262223']","POLYGON((8.626038 46.7332966, 8.6261684 46.7333364, 8.6262223 46.7332529, 8.626092 46.7332132, 8.626038 46.7332966))"
46.737708419852204,8.629062219787878,"['46.7376453', '46.7377604', '8.6289669', '8.6291618']","POLYGON((8.6289669 46.7377256, 8.629067 46.7377604, 8.629082 46.7377402, 8.6291174 46.7377525, 8.6291618 46.7376923, 8.6290263 46.7376453, 8.6289669 46.7377256))"
